Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q2.1,Q2.2,Q3.1,Q3.2,Q3.3,Q4.2_1,Q4.2_2,Q4.2_3,Q13_1,Q13_2,Q13_3,Q13_4
Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Where do you live on campus?,Which class year are you in?,"On average, how many servings of the main entree do you take each time you get LUNCH at the dining hall? Note: A serving is one “box” of food.","On average, how many servings of the main entree do you take each time you get DINNER at the dining hall? Note: A serving is one “box” of food.","How many additional containers (from sides, salads, soup, etc.) do you take on average each time you visit the dining hall?",Please rank the following factors in terms of importance when it comes to HUDS’ dining protocol. - Sustainability,Please rank the following factors in terms of importance when it comes to HUDS’ dining protocol. - Convenience,"Please rank the following factors in terms of importance when it comes to HUDS’ dining protocol. - Safety (COVID, etc.)","Description: Under a potential reusable container program, HUDS will provide each student a clean re - I would be willing to switch to the reusable container system outlined above.","Description: Under a potential reusable container program, HUDS will provide each student a clean re - Switching to reusable containers would be environmentally beneficial.","Description: Under a potential reusable container program, HUDS will provide each student a clean re - A reusable container program would be difficult for students to maintain and comply with.","Description: Under a potential reusable container program, HUDS will provide each student a clean re - I would feel safe about eating from reusable containers that are washed and disinfected by HUDS."
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}"
100,49,TRUE,11/5/20 18:31,email,EN,Leverett House,2023,2,2,2,2,1,3,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
100,70,TRUE,11/5/20 18:32,email,EN,The Yard (freshman housing),2024,1,1,1,2,1,3,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree
100,109,TRUE,11/5/20 18:32,email,EN,Leverett House,2024,1,1,3,2,3,1,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree
100,112,TRUE,11/5/20 18:33,email,EN,Pforzheimer House,2024,2,2,1,2,3,1,Strongly Disagree,Agree,Agree,Strongly Disagree
100,80,TRUE,11/5/20 18:33,email,EN,Leverett House,2024,0,1,1,2,1,3,Strongly agree,Strongly agree,Neither agree nor disagree,Agree
100,158,TRUE,11/5/20 18:33,email,EN,The Yard (freshman housing),2024,0,2,1,2,3,1,Strongly Disagree,Somewhat agree,Agree,Strongly Disagree
100,66,TRUE,11/5/20 18:34,email,EN,The Yard (freshman housing),2024,2,2,4+,2,1,3,Strongly Disagree,Somewhat agree,Strongly agree,Strongly Disagree
100,104,TRUE,11/5/20 18:34,email,EN,The Yard (freshman housing),2024,2,1,1,3,1,2,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Disagree
